respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
118,0,1,0.5408545025487828,1939.0,51.0,0.24545259785259127,0.1644098587079911,0.045138733436666315,-0.5505521324426917,0.14495478146468688
119,1,1,0.5408545025487828,1963.0,27.0,0.15715382945333367,0.2873579751620235,0.1608367156283366,4.661199334620577,0.10703759096828099
122,0,0,1.2038247711023995,1956.0,34.0,0.21546945247573324,0.17382768258285744,0.03165553148931693,0.18252179915914088,0.16404772954172586
123,0,0,1.2524284086434012,1960.0,30.0,0.1990662789622698,0.15708527558782862,0.06572133300119108,0.1734198371942952,0.1574244786338341
124,0,0,1.2038247711023995,1959.0,31.0,0.20372334672003017,0.13229151383790025,0.020679074174299934,0.13758215017705072,0.10944231543607615
125,0,0,1.2038247711023995,1949.0,41.0,0.21458886881838993,0.21079184970325004,0.1113578797740204,0.24121688508410946,0.07786642755908481
129,0,0,1.2075648348440184,1950.0,40.0,0.24547835710458388,0.210215654627731,0.06282980949487595,0.23065689519017563,0.1991206310980105
130,0,1,0.5011444524580629,1959.0,31.0,0.17398022724092183,0.37434367284066977,0.03438213980165095,-1.8116833910838328,0.2664847206398286
132,0,0,1.2524284086434012,1959.0,31.0,0.17216012186151383,0.23995616934129607,0.03403287012253142,0.24703374946556733,0.2664847206398286
134,0,0,1.2524284086434012,1956.0,34.0,0.17710793516212764,0.1893875909489647,0.05854530287870301,0.201988074231461,0.2907273024222001
135,0,0,1.2075648348440184,1959.0,31.0,0.16856988457781125,0.34204309641894765,0.02567494140204864,0.34724861138455326,0.2664847206398286
136,0,0,1.2075648348440184,1938.0,52.0,0.25531474599417237,0.13060174325290932,0.056283882045770985,0.1498986273670797,0.14730583794206994
137,0,0,1.2075648348440184,1955.0,35.0,0.1822406068583645,0.23161376386212576,0.07100312068779069,0.24743706336990595,0.062182056244097034
139,1,1,0.5011444524580629,1969.0,21.0,0.16822011061409206,0.3136482437949001,0.10273702406333693,4.29099268977432,0.27214753382460233
140,0,0,1.2038247711023995,1954.0,36.0,0.22582462246504728,0.1497584797268203,0.029726053816743717,0.15842947996182682,0.11460755327615453
141,0,1,0.5445972257083529,1964.0,26.0,0.1870422898136156,0.30143382232509586,0.054811466300037796,-1.3649587608735292,0.2265914620720696
142,1,1,0.5011444524580629,1966.0,24.0,0.1781901719835542,0.38334030924368245,0.01891244810220725,3.825110815155523,0.32389080420288036
143,0,0,1.2038247711023995,1957.0,33.0,0.18007898021796037,0.2542457004841481,0.03197852309134006,0.2612691328492506,0.31051929734322326
144,0,1,0.5445972257083529,1952.0,38.0,0.23550965955828246,0.20022666824059263,0.042978269420837656,-0.692936127013003,0.15785092679393425
146,0,0,1.2524284086434012,1948.0,42.0,0.2464464553747849,0.15182407547382162,0.061909347253387134,0.1720712620128383,0.022249359167369073
148,0,1,0.5408545025487828,1958.0,32.0,0.17608455177008084,0.24264586754869896,0.04863029853616667,-1.183992127344212,0.262569404771159
149,1,0,1.2038247711023995,1983.0,7.0,0.0990792408976443,0.3252326548293914,0.28372522732858535,-0.7535400452481675,0.047315634348001935
